id_oridnateur,avis
1,"Avis 1 sur Dell Inspiron 15."
1,"Avis 2 sur Dell Inspiron 15."
1,"Avis 3 sur Dell Inspiron 15."
2,"Avis 1 sur HP Envy x360."
8,"Avis 2 sur HP Envy x360."
2,"Avis 3 sur HP Envy x360."
3,"Avis 1 sur Lenovo ThinkPad X1 Carbon."
3,"Avis 2 sur Lenovo ThinkPad X1 Carbon."
4,"Avis 1 sur Apple MacBook Pro."
4,"Avis 2 sur Apple MacBook Pro."
7,"Avis 1 sur Dell Inspiron 15."
5,"Avis 1 sur Asus ROG Strix G."
10,"Avis 1 sur Apple MacBook Pro."
5,"Avis 2 sur Asus ROG Strix G."
5,"Avis 3 sur Asus ROG Strix G."
14,"Avis 1 sur Alienware Aurora R12."
9,"Avis 3 sur Lenovo ThinkPad X1 Carbon."
6,"Avis 2 sur Acer Aspire 5."
6,"Avis 1 sur Acer Aspire 5."
7,"Avis 2 sur Dell Inspiron 15."
15,"Avis 3 sur HP Omen 15."
23,"Avis 2 sur Asus ZenBook Pro Duo."
7,"Avis 3 sur Dell Inspiron 15."
8,"Avis 1 sur HP Envy x360."
8,"Avis 3 sur HP Envy x360."
9,"Avis 1 sur Lenovo ThinkPad X1 Carbon."
9,"Avis 2 sur Lenovo ThinkPad X1 Carbon."
10,"Avis 3 sur Apple MacBook Pro."
6,"Avis 3 sur Acer Aspire 5."
2,"Avis 2 sur HP Envy x360."
10,"Avis 2 sur Apple MacBook Pro."
4,"Avis 3 sur Apple MacBook Pro."
3,"Avis 3 sur Lenovo ThinkPad X1 Carbon."
11,"Avis 1 sur Asus ROG Strix G."
11,"Avis 3 sur Asus ROG Strix G."
12,"Avis 3 sur Acer Aspire 5."
13,"Avis 3 sur Microsoft Surface Laptop 4."
14,"Avis 2 sur Alienware Aurora R12."
17,"Avis 2 sur MSI GS66 Stealth."
14,"Avis 3 sur Alienware Aurora R12."
19,"Avis 2 sur Apple Mac Mini."
15,"Avis 1 sur HP Omen 15."
15,"Avis 2 sur HP Omen 15."
22,"Avis 2 sur HP Spectre x360."
16,"Avis 1 sur Lenovo IdeaPad 3."
16,"Avis 2 sur Lenovo IdeaPad 3."
12,"Avis 2 sur Acer Aspire 5."
23,"Avis 3 sur Asus ZenBook Pro Duo."
16,"Avis 3 sur Lenovo IdeaPad 3."
11,"Avis 2 sur Asus ROG Strix G."
17,"Avis 1 sur MSI GS66 Stealth."
18,"Avis 1 sur Acer Aspire 5."
18,"Avis 2 sur Acer Aspire 5."
12,"Avis 1 sur Acer Aspire 5."
18,"Avis 3 sur Acer Aspire 5."
19,"Avis 1 sur Apple Mac Mini."
19,"Avis 3 sur Apple Mac Mini."
20,"Avis 1 sur Dell XPS 13."
22,"Avis 3 sur HP Spectre x360."
20,"Avis 2 sur Dell XPS 13."
20,"Avis 3 sur Dell XPS 13."
21,"Avis 1 sur Acer Predator Helios 300."
21,"Avis 3 sur Acer Predator Helios 300."
22,"Avis 1 sur HP Spectre x360."
23,"Avis 1 sur Asus ZenBook Pro Duo."
13,"Avis 2 sur Microsoft Surface Laptop 4."
17,"Avis 3 sur MSI GS66 Stealth."
21,"Avis 2 sur Acer Predator Helios 300."
13,"Avis 1 sur Microsoft Surface Laptop 4."
